Predictor,Coef,Cluster_SE,z_stat,p_value,OR,OR_95CI_Lower,OR_95CI_Upper
Intercept,-1.1211059391027889,0.2166051905741187,-5.175803664405563,2.269320025227728e-07,0.32591914850279813,0.2131728132036484,0.4982966156163248
Authority,1.5705960536660133,0.27460864784713046,5.719397644535706,1.0690234919508157e-08,4.809514068074907,2.807692871361102,8.238588275432305
Fab_Citation,-0.159054250536685,0.2704480062776842,-0.5881139695789623,0.5564557971116066,0.85295008471408,0.502011453988299,1.449217624884538
Grounded,-0.6850599796882235,0.28218030957750057,-2.4277384226912986,0.015193296830468217,0.5040599953067492,0.2899248908952258,0.8763527618622409
Family_Llama,2.5762606010909113,0.3074864815082278,8.37845159388568,0.0,13.147880949197948,7.19644459158337,24.021135889305572
Auth_x_Grounded,-0.7068216485371823,0.3269490744967993,-2.161870773376671,0.030628138352917667,0.49320930142283853,0.2598523134488139,0.9361294951792734
Fab_x_Grounded,-0.21243991815000882,0.38536437324343764,-0.5512702597855585,0.5814484225127914,0.8086088975804978,0.37993538138552024,1.7209461958029342
Auth_x_Llama,-0.4131523000890043,0.36721075694990735,-1.1251094698877897,0.2605426489047553,0.6615615192766267,0.3221025249305897,1.3587712293839085
Fab_x_Llama,0.9418360427331289,0.38052023654898237,2.475127344802571,0.013318867620397912,2.564685971167758,1.2165468311098349,5.40679073135562
Grounded_x_Llama,-0.5368517792517407,0.3139998528098683,-1.709719843648502,0.0873176914856062,0.5845857634406822,0.3159120298321523,1.0817584724427745
