Predictor,Coef,Cluster_SE,z_stat,p_value,OR,OR_95CI_Lower,OR_95CI_Upper
Intercept,-0.9295359586241774,0.2193944763414111,-4.236824801266548,2.2670288971626817e-05,0.3947368421052625,0.25677652311085997,0.6068201743192967
Authority,1.2724807097510082,0.28558254938410665,4.4557369226350385,8.360550625585716e-06,3.5696969696969774,2.0395698197711516,6.247756920081104
Fab_Citation,-0.430090155413551,0.29709454071632996,-1.4476541856896896,0.14771378885031972,0.6504504504504521,0.3633475534643846,1.1644107259213103
Grounded,-1.200677908429082,0.405403523260925,-2.961685924116412,0.003059597070135034,0.3009900990099014,0.1359770967034299,0.6662521990712948
Family_Llama,2.0475663331493874,0.33630760073417104,6.08837364567283,1.1406342537156888e-09,7.749019607843141,4.008445201011026,14.98019852375482
Auth_x_Grounded,0.03675260523242144,0.4783267488048216,0.07683577245942003,0.9387541925367391,1.037436332767401,0.406257606254677,2.649240599993032
Fab_x_Grounded,0.5155480387748643,0.5522632080888306,0.9335187121354268,0.3505522136657644,1.6745559719732728,0.5672881807511961,4.943056806785833
Auth_x_Llama,1.1210343545548023,0.852095235468016,1.315620963352847,0.18830129384998484,3.0680259892908417,0.5774852910449969,16.299607309358496
Fab_x_Llama,1.7544068162575452,0.6076309680933234,2.887289997352626,0.003885759029337077,5.780018112081816,1.7567229597929186,19.017574279288763
Grounded_x_Llama,0.4191197705250842,0.5133984847048138,0.8163634740099855,0.4142922808364702,1.520622469635626,0.5559142298470285,4.159441458796668
Auth_x_Grounded_x_Llama,-2.1699238345379315,0.9365829146237548,-2.3168518244961107,0.020511804831919722,0.11418631363297711,0.018212878100165846,0.7158953213973295
Fab_x_Grounded_x_Llama,-1.41136402110887,0.7729264309931054,-1.8260004633241214,0.06785019205170206,0.2438104935792267,0.0535949824735427,1.1091254075638632
